no,question,a,b,c,d,answer
404,A botnet can be managed through which of the following?,IRC,E-Mail,Linkedin and Facebook,A vulnerable FTP server,A
405,"Under the ""Post-attack Phase and Activities"", it is the responsibility of the tester to restorethe systems to a pre-test state.Which of the following activities should not be included in this phase? (see exhibit) Exhibit: ",III,IV,III and IV,All should be included.,A
406,The practical realities facing organizations today make risk response strategies essential.Which of the following is NOT one of the five basic responses to risk?,Accept,Mitigate,Delegate,Avoid,C
407,Internet Protocol Security IPSec is actually a suite of protocols. Each protocol within thesuite provides different functionality. Collective IPSec does everything except.,Protect the payload and the headers,Authenticate,Encrypt,Work at the Data Link Layer,D
408,"A penetration test was done at a company. After the test, a report was written and given tothe company's IT authorities. A section from the report is shown below:According to the section from the report, which of the following choice is true?",MAC Spoof attacks cannot be performed.,Possibility of SQL Injection attack is eliminated.,A stateful firewall can be used between intranet (LAN) and DMZ.,There is access control policy between VLANs.,C
409,You want to analyze packets on your wireless network. Which program would you use?,Wireshark with Airpcap,Airsnort with Airpcap,Wireshark with Winpcap,Ethereal with Winpcap,A
410,Bluetooth uses which digital modulation technique to exchange information between paireddevices?,PSK (phase-shift keying),FSK (frequency-shift keying),ASK (amplitude-shift keying),QAM (quadrature amplitude modulation),A
411,Which of these is capable of searching for and locating rogue access points?,HIDS,WISS,WIPS,NIDS,C
412,"Study the snort rule given below and interpret the rule. alert tcp any any --> 192.168.1.0/24111 (content:""|00 01 86 a5|""; msG. ""mountd access"";)",An alert is generated when a TCP packet is generated from any IP on the 192.168.1.0 subnet anddestined to any IP on port 111,An alert is generated when any packet other than a TCP packet is seen on the network anddestined for the 192.168.1.0 subnet,An alert is generated when a TCP packet is originated from port 111 of any IP address to the192.168.1.0 subnet,An alert is generated when a TCP packet originating from any IP address is seen on the networkand destined for any IP address on the 192.168.1.0 subnet on port 111,D
413,Which type of antenna is used in wireless communication?,Omnidirectional,Parabolic,Uni-directional,Bi-directional,A
414,"You are the Network Admin, and you get a compliant that some of the websites are nolonger accessible. You try to ping the servers and find them to be reachable. Then you type the IPaddress and then you try on the browser, and find it to be accessible. But they are not accessiblewhen you try using the URL.What may be the problem?",Traffic is Blocked on UDP Port 53,Traffic is Blocked on UDP Port 80,Traffic is Blocked on UDP Port 54,Traffic is Blocked on UDP Port 80,A
415,"How is the public key distributed in an orderly, controlled fashion so that the users can besure of the sender's identity?",Hash value,Private key,Digital signature,Digital certificate,D
416,What is the BEST alternative if you discover that a rootkit has been installed on one of yourcomputers?,Copy the system files from a known good system,Perform a trap and trace,Delete the files and try to determine the source,Reload from a previous backupE. Reload from known good media,E
417,"Which of the following is optimized for confidential communications, such as bidirectionalvoice and video?",RC4,RC5,MD4,MD5,A
418,"In the context of Windows Security, what is a 'null' user?",A user that has no skills,An account that has been suspended by the admin,A pseudo account that has no username and password,A pseudo account that was created for security administration purpose,C
419,A hacker is attempting to see which IP addresses are currently active on a network. WhichNMAP switch would the hacker use?,-sO,-sP,-sS,-sU,B
420,"In Risk Management, how is the term ""likelihood"" related to the concept of ""threat?""",Likelihood is the probability that a threat-source will exploit a vulnerability.,Likelihood is a possible threat-source that may exploit a vulnerability.,Likelihood is the likely source of a threat that could exploit a vulnerability.,Likelihood is the probability that a vulnerability is a threat-source.,A
421,"During a wireless penetration test, a tester detects an access point using WPA2 encryption.Which of the following attacks should be used to obtain the key?",The tester must capture the WPA2 authentication handshake and then crack it.,The tester must use the tool inSSIDer to crack it using the ESSID of the network.,The tester cannot crack WPA2 because it is in full compliance with the IEEE 802.11i standard.,The tester must change the MAC address of the wireless network card and then use the AirTraftool to obtain the key.,A
422,What is the main disadvantage of the scripting languages as opposed to compiledprogramming languages?,Scripting languages are hard to learn.,Scripting languages are not object-oriented.,Scripting languages cannot be used to create graphical user interfaces.,Scripting languages are slower because they require an interpreter to run the code.,D
423,"A consultant is hired to do physical penetration testing at a large financial company. In thefirst day of his assessment, the consultant goes to the company`s building dressed like an electricianand waits in the lobby for an employee to pass through the main access gate, then the consultantfollows the employee behind to get into the restricted area. Which type of attack did the consultantperform?",Man trap,Tailgating,Shoulder surfing,Social engineering,B
424,"You are about to be hired by a well-known Bank to perform penetration tests. Which of thefollowing documents describes the specifics of the testing, the associated violations, and essentiallyprotects both the bank's interest and your liabilities as a tester?",Service Level Agreement,Non-Disclosure Agreement,Terms of Engagement,Project Scope,C
425,A person approaches a network administrator and wants advice on how to send encryptedemail from home.The end user does not want to have to pay for any license fees or manage server services. Which ofthe following is the most secure encryption protocol that the network administrator shouldrecommend?,IP Security (IPSEC),Multipurpose Internet Mail Extensions (MIME),Pretty Good Privacy (PGP),Hyper Text Transfer Protocol with Secure Socket Layer (HTTPS),C
426,MX record priority increases as the number increases. (True/False.),True,False,,,B
427,Which of the following is a low-tech way of gaining unauthorized access to systems?,Social Engineering,Sniffing,Eavesdropping,Scanning,A
428,"Bob is acknowledged as a hacker of repute and is popular among visitors of ""underground""sites.Bob is willing to share his knowledge with those who are willing to learn, and many have expressedtheir interest in learning from him. However, this knowledge has a risk associated with it, as it can beused for malevolent attacks as well.In this context, what would be the most effective method to bridge the knowledge gap between the""black"" hats or crackers and the ""white"" hats or computer security professionals? (Choose the testanswer.)","Educate everyone with books, articles and training on risk analysis, vulnerabilities and safeguards.",Hire more computer security monitoring personnel to monitor computer systems and networks.,Make obtaining either a computer security certification or accreditation easier to achieve so moreindividuals feel that they are a part of something larger than life.,Train more National Guard and reservist in the art of computer security to help out in times ofemergency or crises.,A
429,What statement is true regarding LM hashes?,LM hashes consist in 48 hexadecimal characters.,LM hashes are based on AES128 cryptographic standard.,Uppercase characters in the password are converted to lowercase.,LM hashes are not generated when the password length exceeds 15 characters.,D
430,What information should an IT system analysis provide to the risk assessor?,Management buy-in,Threat statement,Security architecture,Impact analysis,C
431,An attacker has captured a target file that is encrypted with public key cryptography. Whichof the attacks below is likely to be used to crack the target file?,Timing attack,Replay attack,Memory trade-off attack,Chosen plain-text attack,D
432,International Organization for Standardization (ISO) standard 27002 provides guidance forcompliance by outlining,guidelines and practices for security controls.,financial soundness and business viability metrics.,standard best practice for configuration management.,contract agreement writing standards.,A
433,Which of the following is the primary objective of a rootkit?,It opens a port to provide an unauthorized service,It creates a buffer overflow,It replaces legitimate programs,It provides an undocumented opening in a program,C
434,"The ""gray box testing"" methodology enforces what kind of restriction?",The internal operation of a system is only partly accessible to the tester.,The internal operation of a system is completely known to the tester.,Only the external operation of a system is accessible to the tester.,Only the internal operation of a system is known to the tester.,A
435,"An attacker changes the profile information of a particular user (victim) on the targetwebsite. The attacker uses this string to update the victim's profile to a text file and then submit thedata to the attacker's database.< iframe src=""http://www.vulnweb.com/updateif.php"" style=""display:none""></iframe> What is thistype of attack (that can use either HTTP GET or HTTP POST) called?",Cross-Site Request Forgery,Cross-Site Scripting,SQL Injection,Browser Hacking,A
436,Which of the following tools are used for enumeration? (Choose three.),SolarWinds,USER2SID,Cheops,SID2USERE. DumpSec,B
437,A pentester is using Metasploit to exploit an FTP server and pivot to a LAN. How will thepentester pivot using Metasploit?,Issue the pivot exploit and set the meterpreter.,Reconfigure the network settings in the meterpreter.,Set the payload to propagate through the meterpreter.,Create a route statement in the meterpreter.,D
438,Which of the following describes the characteristics of a Boot Sector Virus?,Moves the MBR to another location on the RAM and copies itself to the original location of theMBR,Moves the MBR to another location on the hard disk and copies itself to the original location ofthe MBR,Modifies directory table entries so that directory entries point to the virus code instead of theactual program,Overwrites the original MBR and only executes the new virus code,B
439,"In order to have an anonymous Internet surf, which of the following is best choice?",Use SSL sites when entering personal information,Use Tor network with multi-node,Use shared WiFi,Use public VPN,B
440,"A security analyst in an insurance company is assigned to test a new web application thatwill be used by clients to help them choose and apply for an insurance plan. The analyst discoversthat the application is developed in ASP scripting language and it uses MSSQL as a database backend.The analyst locates the application's search form and introduces the following code in the searchinput field: When the analyst submits the form, the browser returns a pop-up window that says ""Vulnerable"".Which web applications vulnerability did the analyst discover?",Cross-site request forgery,Command injection,Cross-site scripting,SQL injection,C
441,"You have several plain-text firewall logs that you must review to evaluate network traffic.You know that in order to do fast, efficient searches of the logs you must use regular expressions.Which command-line utility are you most likely to use?",Grep,Notepad,MS Excel,Relational Database,A
442,A computer technician is using a new version of a word processing software package whenit is discovered that a special sequence of characters causes the entire computer to crash. Thetechnician researches the bug and discovers that no one else experienced the problem. What is theappropriate next step?,Ignore the problem completely and let someone else deal with it.,Create a document that will crash the computer when opened and send it to friends.,Find an underground bulletin board and attempt to sell the bug to the highest bidder.,Notify the vendor of the bug and do not disclose it until the vendor gets a chance to issue a fix.,D
443,Which of the following is an application that requires a host application for replication?,Micro,Worm,Trojan,Virus,D
444,An organization hires a tester to do a wireless penetration test. Previous reports indicatethat the last test did not contain management or control packets in the submitted traces. Which ofthe following is the most likely reason for lack of management or control packets?,The wireless card was not turned on.,The wrong network card drivers were in use by Wireshark.,"On Linux and Mac OS X, only 802.11 headers are received in promiscuous mode.",Certain operating systems and adapters do not collect the management or control packets.,D
445,An attacker scans a host with the below command. Which three flags are set? (Choosethree.)#nmap -sX host.domain.com,This is ACK scan. ACK flag is set,This is Xmas scan. SYN and ACK flags are set,"This is Xmas scan. URG, PUSH and FIN are set",This is SYN scan. SYN flag is set,C
446,You work for Acme Corporation as Sales Manager. The company has tight network securityrestrictions. You are trying to steal data from the company's Sales database (Sales.xls) and transferthem to your home computer. Your company filters and monitors traffic that leaves from the internalnetwork to the Internet. How will you achieve this without raising suspicion?,Encrypt the Sales.xls using PGP and e-mail it to your personal gmail account,Package the Sales.xls using Trojan wrappers and telnet them back your home computer,You can conceal the Sales.xls database in another file like photo.jpg or other files and send it out inan innocent looking email or file transfer using Steganography techniques,Change the extension of Sales.xls to sales.txt and upload them as attachment to your hotmailaccount,C
447,A penetration tester is attempting to scan an internal corporate network from the internetwithout alerting the border sensor. Which is the most efficient technique should the tester considerusing?,Spoofing an IP address,Tunneling scan over SSH,Tunneling over high port numbers,Scanning using fragmented IP packets,B
448,A hacker searches in Google for filetype:pcf to find Cisco VPN config files. Those files maycontain connectivity passwords that can be decoded with which of the following?,Cupp,Nessus,Cain and Abel,John The Ripper Pro,C
449,Which of the following is an example of IP spoofing?,SQL injections,Man-in-the-middle,Cross-site scripting,ARP poisoning,B
450,"A technician is resolving an issue where a computer is unable to connect to the Internetusing a wireless access point. The computer is able to transfer files locally to other machines, butcannot successfully reach the Internet. When the technician examines the IP address and defaultgateway they are both on the192.168.1.0/24. Which of the following has occurred?",The gateway is not routing to a public IP address.,The computer is using an invalid IP address.,The gateway and the computer are not on the same network.,The computer is not using a private IP address.,A
451,A certified ethical hacker (CEH) is approached by a friend who believes her husband ischeating. She offers to pay to break into her husband's email account in order to find proof so shecan take him to court. What is the ethical response?,Say no; the friend is not the owner of the account.,Say yes; the friend needs help to gather evidence.,Say yes; do the job for free.,Say no; make sure that the friend knows the risk she's asking the CEH to take.,A
452,env x=`(){ :;};echo exploit` bash -c 'cat /etc/passwd'What is the Shellshock bash vulnerability attempting to do on a vulnerable Linux host?,Display passwd content to prompt,Removes the passwd file,Changes all passwords in passwd,Add new user to the passwd file,A
453,"As a securing consultant, what are some of the things you would recommend to a companyto ensure DNS security?",Use the same machines for DNS and other applications,Harden DNS servers,Use split-horizon operation for DNS servers,Restrict Zone transfersE. Have subnet diversity between DNS servers,B
454,Some passwords are stored using specialized encryption algorithms known as hashes. Whyis this an appropriate method?,It is impossible to crack hashed user passwords unless the key used to encrypt them is obtained.,"If a user forgets the password, it can be easily retrieved using the hash key stored byadministrators.",Hashing is faster compared to more traditional encryption algorithms.,"Passwords stored using hashes are non-reversible, making finding the password much moredifficult.",D
455,A company has publicly hosted web applications and an internal Intranet protected by afirewall. Which technique will help protect against enumeration?,Reject all invalid email received via SMTP.,Allow full DNS zone transfers.,Remove A records for internal hosts.,Enable null session pipes.,C
456,"Which of the following incident handling process phases is responsible for defining rules,collaborating human workforce, creating a back-up plan, and testing the plans for an organization?",Preparation phase,Containment phase,Identification phase,Recovery phase,A
457,In both pharming and phishing attacks an attacker can create websites that look similar tolegitimate sites with the intent of collecting personal identifiable information from its victims. What isthe difference between pharming and phishing attacks?,In a pharming attack a victim is redirected to a fake website by modifying their host configurationfile or by exploiting vulnerabilities in DNS. In a phishing attack an attacker provides the victim with aURL that is either misspelled or looks similar to the actual websites domain name.,Both pharming and phishing attacks are purely technical and are not considered forms of socialengineering.,Both pharming and phishing attacks are identical.,In a phishing attack a victim is redirected to a fake website by modifying their host configurationfile or by exploiting vulnerabilities in DNS. In a pharming attack an attacker provides the victim with aURL that is either misspelled or looks very similar to the actual websites domain name.,A
458,"While you were gathering information as part of security assessments for one of yourclients, you were able to gather data that show your client is involved with fraudulent activities. Whatshould you do?",Immediately stop work and contact the proper legal authorities,Ignore the data and continue the assessment until completed as agreed,Confront the client in a respectful manner and ask her about the data,Copy the data to removable media and keep it in case you need it,A
459,"A tester has been hired to do a web application security test. The tester notices that the siteis dynamic and must make use of a back end database.In order for the tester to see if SQL injection is possible, what is the first character that the testershould use to attempt breaking a valid SQL request?",Semicolon,Single quote,Exclamation mark,Double quote,B
460,"Whileusing your bank's online servicing you notice the following string in the URL bar:""http://www.MyPersonalBank.com/account?id=368940911028389& Damount=10980&Camount=21""You observe that if you modify the Damount & Camount values and submit the request, that data onthe web page reflect the changes.Which type of vulnerability is present on this site?",Web Parameter Tampering,Cookie Tampering,XSS Reflection,SQL injection,A
461,When does the Payment Card Industry Data Security Standard (PCI-DSS) requireorganizations to perform external and internal penetration testing?,At least once a year and after any significant upgrade or modification,At least once every three years or after any significant upgrade or modification,At least twice a year or after any significant upgrade or modification,At least once every two years and after any significant upgrade or modification,A
462,A covert channel is a channel that,"transfers information over, within a computer system, or network that is outside of the securitypolicy.","transfers information over, within a computer system, or network that is within the security policy.","transfers information via a communication path within a computer system, or network for transferof data.","transfers information over, within a computer system, or network that is encrypted.",A
463,Which of the following scanning method splits the TCP header into several packets andmakes it difficult for packet filters to detect the purpose of the packet?,ICMP Echo scanning,SYN/FIN scanning using IP fragments,ACK flag probe scanning,IPID scanning,B
464,Which of the following parameters describe LM Hash (see exhibit):Exhibit: ,"I, II, and III",I,II,I and II,A
465,"A hacker was able to sniff packets on a company's wireless network. The followinginformation was discovered: Using the Exlcusive OR, what was the original message?",00101000 11101110,11010111 00010001,00001101 10100100,11110010 01011011,B
466,Which of the following is a form of penetration testing that relies heavily on humaninteraction and often involves tricking people into breaking normal security procedures?,Social Engineering,Piggybacking,Tailgating,Eavesdropping,A
467,This asymmetry cipher is based on factoring the product of two large prime numbers.What cipher is described above?,RSA,SHA,RC5,MD5,A
468,Which property ensures that a hash function will not produce the same hashed value fortwo different messages?,Collision resistance,Bit length,Key strength,Entropy,A
469,"Assume a business-crucial web-site of some company that is used to sell handsets to thecustomers worldwide.All the developed components are reviewed by the security team on a monthly basis. In order todrive business further, the web-site developers decided to add some 3rd party marketing tools on it.The tools are written in JavaScript and can track the customer's activity on the site. These tools arelocated on the servers of the marketing company.What is the main security risk associated with this scenario?",External script contents could be maliciously modified without the security team knowledge,External scripts have direct access to the company servers and can steal the data from there,There is no risk at all as the marketing services are trustworthy,External scripts increase the outbound company data traffic which leads greater financial losses,A
470,What attack is used to crack passwords by using a precomputed table of hashed passwords?,Brute Force Attack,Hybrid Attack,Rainbow Table Attack,Dictionary Attack,C
471,A Security Engineer at a medium-sized accounting firm has been tasked with discoveringhow much information can be obtained from the firm's public facing web servers. The engineerdecides to start by using netcat to port 80.The engineer receives this output: Which of the following is an example of what the engineer performed?,Cross-site scripting,Banner grabbing,SQL injection,Whois database query,B
472,Which of the following is an adaptive SQL Injection testing technique used to discovercoding errors by inputting massive amounts of random data and observing the changes in theoutput?,Function Testing,Dynamic Testing,Static Testing,Fuzzing Testing,D
473,What two conditions must a digital signature meet?,"Has to be unforgeable, and has to be authentic.",Has to be legible and neat.,Must be unique and have special characters.,Has to be the same number of characters as a physical signature and must be unique.,A
474,"Jimmy is standing outside a secure entrance to a facility. He is pretending to have a tenseconversation on his cell phone as an authorized employee badges in. Jimmy, while still on the phone,grabs the door as it begins to close.What just happened?",Piggybacking,Masqurading,Phishing,Whaling,A
475,"You have the SOA presented below in your Zone.Your secondary servers have not been able to contact your primary server to synchronizeinformation. How long will the secondary servers attempt to contact the primary server before itconsiders that zone is dead and stops responding to queries?collegae.edu.SOA, cikkye.edu ipad.college.edu. (200302028 3600 3600 604800 3600)",One day,One hour,One week,One month,C
476,Study the log below and identify the scan type. ,nmap -sR 192.168.1.10,nmap -sS 192.168.1.10,nmap -sV 192.168.1.10,nmap -sO -T 192.168.1.10,D
477,"Which technical characteristic do Ethereal/Wireshark, TCPDump, and Snort have incommon?",They are written in Java.,They send alerts to security monitors.,They use the same packet analysis engine.,They use the same packet capture utility.,D
478,Which of the following is a component of a risk assessment?,Administrative safeguards,Physical security,DMZ,Logical interface,A
479,"What is the outcome of the comm""nc -l -p 2222 | nc 10.1.0.43 1234""?",Netcat will listen on the 10.1.0.43 interface for 1234 seconds on port 2222.,Netcat will listen on port 2222 and output anything received to a remote connection on 10.1.0.43port1234.,Netcat will listen for a connection from 10.1.0.43 on port 1234 and output anything received toport2222.,Netcat will listen on port 2222 and then output anything received to local interface 10.1.0.43.,B
480,"Which type of cryptography does SSL, IKE and PGP belongs to?",Secret Key,Hash Algorithm,Digest,Public Key,D
481,"A regional bank hires your company to perform a security assessment on their network aftera recent data breach. The attacker was able to steal financial data from the bank by compromisingonly a single server.Based on this information, what should be one of your key recommendations to the bank?",Place a front-end web server in a demilitarized zone that only handles external web traffic,Require all employees to change their passwords immediately,Move the financial data to another server on the same IP subnet,Issue new certificates to the web servers from the root certificate authority,A
482,"What ports should be blocked on the firewall to prevent NetBIOS traffic from not comingthrough the firewall if your network is comprised of Windows NT, 2000, and XP?",110,135,139,161E. 445F. 1024,B
483,"In Trojan terminology, what is a covert channel? ",A channel that transfers information within a computer system or network in a way that violatesthe security policy,A legitimate communication path within a computer system or network for transfer of data,It is a kernel operation that hides boot processes and services to mask detection,It is Reverse tunneling technique that uses HTTPS protocol instead of HTTP protocol to establishconnections,A
484,"To reduce the attack surface of a system, administrators should perform which of thefollowing processes to remove unnecessary software, services, and insecure configuration settings?",Harvesting,Windowing,Hardening,Stealthing,C
485,What tool should you use when you need to analyze extracted metadata from files youcollected when you were in the initial stage of penetration test (information gathering)?,Armitage,Dimitry,Metagoofil,cdpsnarf,C
486,"While checking the settings on the internet browser, a technician finds that the proxy serversettings have been checked and a computer is trying to use itself as a proxy server. What specificoctet within the subnet does the technician see?",10.10.10.10,127.0.0.1,192.168.1.1,192.168.168.168,B
487,Which of the following is NOT an ideal choice for biometric controls?,Iris patterns,Fingerprints,Height and weight,Voice,C
488,"In an internal security audit, the white hat hacker gains control over a user account andattempts to acquire access to another account's confidential files and information. How can heachieve this?",Port Scanning,Hacking Active Directory,Privilege Escalation,Shoulder-Surfing,C
489,Which of the following is designed to verify and authenticate individuals taking part in adata exchange within an enterprise?,SOA,Single-Sign On,PKI,Biometrics,C
490,One of your team members has asked you to analyze the following SOA record.What is the TTL? Rutgers.edu.SOA NS1.Rutgers.edu ipad.college.edu (200302028 3600 3600 6048002400.),200303028,3600,604800,2400E. 60F. 4800,D
491,Which one of the following Google advanced search operators allows an attacker to restrictthe results to those websites in the given domain?,[cache:],[site:],[inurl:],[link:],B
492,Which of the following is a primary service of the U.S. Computer Security Incident ResponseTeam (CSIRT)?,CSIRT provides an incident response service to enable a reliable and trusted single point of contactfor reporting computer security incidents worldwide.,CSIRT provides a computer security surveillance service to supply a government with importantintelligence information on individuals travelling abroad.,CSIRT provides a penetration testing service to support exception reporting on incidentsworldwide by individuals and multi-national corporations.,CSIRT provides a vulnerability assessment service to assist law enforcement agencies with profilingan individual's property or company's asset.,A
493,Which specific element of security testing is being assured by using hash?,Authentication,Integrity,Confidentiality,Availability,B
494,"Which of the following Bluetooth hacking techniques does an attacker use to send messagesto users without the recipient's consent, similar to email spamming?",Bluesmacking,Bluesniffing,Bluesnarfing,Bluejacking,D
495,"While performing online banking using a Web browser, Kyle receives an email that containsan image of a well-crafted art. Upon clicking the image, a new tab on the web browser opens andshows an animated GIF of bills and coins being swallowed by a crocodile. After several days, Kylenoticed that all his funds on the bank was gone. What Web browser-based security vulnerability gotexploited by the hacker?",Clickjacking,Web Form Input Validation,Cross-Site Request Forgery,Cross-Site Scripting,C
496,Which of the following is the most important phase of ethical hacking wherein you need tospend considerable amount of time?,Gaining access,Escalating privileges,Network mapping,Footprinting,D
497,"Vlady works in a fishing company where the majority of the employees have very littleunderstanding of IT let alone IT Security. Several information security issues that Vlady often foundincludes, employees sharing password, writing his/her password on a post it note and stick it tohis/her desk, leaving the computer unlocked, didn't log out from emails or other social mediaaccounts, and etc.After discussing with his boss, Vlady decided to make some changes to improve the securityenvironment in his company. The first thing that Vlady wanted to do is to make the employeesunderstand the importance of keeping confidential information, such as password, a secret and theyshould not share it with other persons.Which of the following steps should be the first thing that Vlady should do to make the employees inhis company understand to importance of keeping confidential information a secret?",Warning to those who write password on a post it note and put it on his/her desk,Developing a strict information security policy,Information security awareness training,Conducting a one to one discussion with the other employees about the importance ofinformation security,A
498,A specific site received 91 ICMP_ECHO packets within 90 minutes from 47 different sites.77 of the ICMP_ECHO packets had an ICMP ID:39612 and Seq:57072. 13 of the ICMP_ECHO packetshad an ICMP ID:0 and Seq:0. What can you infer from this information?,The packets were sent by a worm spoofing the IP addresses of 47 infected sites,ICMP ID and Seq numbers were most likely set by a tool and not by the operating system,All 77 packets came from the same LAN segment and hence had the same ICMP ID and Seqnumber,"13 packets were from an external network and probably behind a NAT, as they had an ICMP ID 0and Seq 0",B
499,XOR is a common cryptographic tool. 10110001 XOR 00111010 is?,10111100,11011000,10011101,10001011,D
500,"During a penetration test, a tester finds that the web application being analyzed isvulnerable to Cross Site Scripting (XSS). Which of the following conditions must be met to exploit thisvulnerability?",The web application does not have the secure flag set.,The session cookies do not have the HttpOnly flag set.,The victim user should not have an endpoint security solution.,The victim's browser must have ActiveX technology enabled.,B
501,"Cryptography is the practice and study of techniques for secure communication in thepresence of third parties (called adversaries.) More generally, it is about constructing and analyzingprotocols that overcome the influence of adversaries and that are related to various aspects ininformation security such as data confidentiality, data integrity, authentication, and non-repudiation.Modern cryptography intersects the disciplines of mathematics, computer science, and electricalengineering. Applications of cryptography include ATM cards, computer passwords, and electroniccommerce.Basic example to understand how cryptography works is given below: Which of the following choices is true about cryptography?","Algorithm is not the secret, key is the secret.",Symmetric-key algorithms are a class of algorithms for cryptography that use the differentcryptographic keys for both encryption of plaintext and decryption of ciphertext.,Secure Sockets Layer (SSL) use the asymmetric encryption both (public/private key pair) to deliverthe shared session key and to achieve a communication way.,"Public-key cryptography, also known as asymmetric cryptography, public key is for decrypt, privatekey is for encrypt.",C
502,Which of the following cryptography attack is an understatement for the extraction ofcryptographic secrets (e.g. the password to an encrypted file) from a person by a coercion or torture?,Chosen-Cipher text Attack,Ciphertext-only Attack,Timing Attack,Rubber Hose Attack,D
503,Which of the following is a detective control?,Smart card authentication,Security policy,Audit trail,Continuity of operations plan,C
504,Which of the following is a common Service Oriented Architecture (SOA) vulnerability?,Cross-site scripting,SQL injection,VPath injection,XML denial of service issues,D
505,Which of the following is considered as one of the most reliable forms of TCP scanning?,TCP Connect/Full Open Scan,Half-open Scan,NULL Scan,Xmas Scan,A
506,Why would you consider sending an email to an address that you know does not existwithin the company you are performing a Penetration Test for?,To determine who is the holder of the root account,To perform a DoS,To create needless SPAM,To illicit a response back that will reveal information about email servers and how they treatundeliverable mailE. To test for virus protection,D
507,"........is an attack type for a rogue Wi-Fi access point that appears to be a legitimate oneoffered on the premises, but actually has been set up to eavesdrop on wireless communications. It isthe wireless version of the phishing scam. An attacker fools wireless users into connecting a laptop ormobile phone to a tainted hotspot by posing as a legitimate provider. This type of attack may be usedto steal the passwords of unsuspecting users by either snooping the communication link or byphishing, which involves setting up a fraudulent web site and luring people there.Fill in the blank with appropriate choice.",Collision Attack,Evil Twin Attack,Sinkhole Attack,Signal Jamming Attack,B
508,Which NMAP feature can a tester implement or adjust while scanning for open ports toavoid detection by the network's IDS?,Timing options to slow the speed that the port scan is conducted,Fingerprinting to identify which operating systems are running on the network,ICMP ping sweep to determine which hosts on the network are not available,Traceroute to control the path of the packets sent during the scan,A
509,"Susan has attached to her company's network. She has managed to synchronize her boss'ssessions with that of the file server. She then intercepted his traffic destined for the server, changedit the way she wanted to and then placed it on the server in his home directory.What kind of attack is Susan carrying on?",A sniffing attack,A spoofing attack,A man in the middle attack,A denial of service attack,C
510,"Matthew received an email with an attachment named ""YouWon
10Grand.zip."" The zip filecontains a file named ""HowToClaimYourPrize.docx.exe."" Out of excitement and curiosity, Matthewopened the said file.Without his knowledge, the file copies itself to Matthew's APPDATA\IocaI directory and begins tobeacon to a Command-and-control server to download additional malicious binaries. What type ofmalware has Matthew encountered?",Key-logger,Trojan,Worm,Macro Virus,B
511,Nation-state threat actors often discover vulnerabilities and hold on to them until they wantto launch a sophisticated attack. The Stuxnet attack was an unprecedented style of attack because itused four types of vulnerability.What is this style of attack called?,zero-day,zero-hour,zero-sum,no-day,A
512,A network security administrator is worried about potential man-in-the-middle attackswhen users access a corporate web site from their workstations. Which of the following is the bestremediation against this type of attack?,Implementing server-side PKI certificates for all connections,Mandating only client-side PKI certificates for all connections,Requiring client and server PKI certificates for all connections,Requiring strong authentication for all DNS queries,C
513,What is not a PCI compliance recommendation?,Limit access to card holder data to as few individuals as possible.,Use encryption to protect all transmission of card holder data over any public network.,Rotate employees handling credit card transactions on a yearly basis to different departments.,Use a firewall between the public network and the payment card data.,C
514,"When you are testing a web application, it is very useful to employ a proxy tool to saveevery request and response. You can manually test every request and analyze the response to findvulnerabilities. You can test parameter and headers manually to get more precise results than if usingweb vulnerability scanners.What proxy tool will help you find web vulnerabilities?",Burpsuite,Maskgen,Dimitry,Proxychains,A
515,Which of the following algorithms provides better protection against brute force attacks byusing a 160-bit message digest?,MD5,SHA-1,RC4,MD4,B
516,"During a penetration test, the tester conducts an ACK scan using NMAP against the externalinterface of the DMZ firewall. NMAP reports that port 80 is unfiltered. Based on this response, whichtype of packet inspection is the firewall conducting?",Host,Stateful,Stateless,Application,C
517,Which tool allows analysts and pen testers to examine links between data using graphs andlink analysis?,Maltego,Cain & Abel,Metasploit,Wireshark,A
518,"This configuration allows NIC to pass all traffic it receives to the Central Processing Unit(CPU), instead of passing only the frames that the controller is intended to receive. Select the optionthat BEST describes the above statement.",Multi-cast mode,WEM,Promiscuous mode,Port forwarding,C
519,"Yancey is a network security administrator for a large electric company. This companyprovides power for over 100, 000 people in Las Vegas. Yancey has worked for his company for over15 years and has become very successful. One day, Yancey comes in to work and finds out that thecompany will be downsizing and he will be out of a job in two weeks. Yancey is very angry anddecides to place logic bombs, viruses, Trojans, and backdoors all over the network to take down thecompany once he has left. Yancey does not care if his actions land him in jail for 30 or more years, hejust wants the company to pay for what they are doing to him.What would Yancey be considered?",Yancey would be considered a Suicide Hacker,"Since he does not care about going to jail, he would be considered a Black Hat",Because Yancey works for the company currently; he would be a White Hat,Yancey is a Hacktivist Hacker since he is standing up to a company that is downsizing,A
520,An enterprise recently moved to a new office and the new neighborhood is a little risky. TheCEO wants to monitor the physical perimeter and the entrance doors 24 hours. What is the bestoption to do this job?,Use fences in the entrance doors.,Install a CCTV with cameras pointing to the entrance doors and the street.,Use an IDS in the entrance doors and install some of them near the corners.,Use lights in all the entrance doors and along the company's perimeter.,B
